Name,Link
"
          Acetone NF
        ",/collections/bases/products/acetone-nf
"
          Almond Oil (Sweet) NF
        ",/collections/bases/products/almond-oil-sweet-nf
"
          Anhydrous Cream
        ",/collections/bases/products/anhydrous-cream
"
          Avicel PH-101 (Microcrystalline Cellulose)
        ",/collections/bases/products/avicel-ph-101-microcrystalline-cellulose
"
          Avicel PH-105 (Microcrystalline Cellulose) NF
        ",/collections/bases/products/avicel-ph-105-microcrystalline-cellulose-nf
"
          Base A - Polyethylene Glycol (PEG) 1450
        ",/collections/bases/products/base-a-peg-1450
"
          Base B - Polyglycol (PEG) 3350 USP
        ",/collections/bases/products/base-b-polyglycol-peg-3350-usp
"
          Base C - Polyethylene Glycol (PEG) 300 NF
        ",/collections/bases/products/base-c-polyglycol-peg-300
"
          Carbomer 940 NF
        ",/collections/bases/products/carbomer-940-nf
"
          Carbomer Gel Aqueous
        ",/collections/bases/products/carbomer-gel-aqueous
"
          Carbomer Gel Hydroalcoholic
        ",/collections/bases/products/carbomer-gel-hydroalcoholic
"
          Castor Oil USP
        ",/collections/bases/products/castor-oil-usp
"
          Corn Oil NF
        ",/collections/bases/products/corn-oil-nf
"
          Corn Oil NF - Short-dated, exp. 31 Oct 2024
        ",/collections/bases/products/corn-oil-nf-short-dated-exp-31-oct-2024
"
          DMSO - Dimethyl Sulfoxide USP
        ",/collections/bases/products/dmso-dimethyl-sulfoxide-usp
"
          Emollient Cream
        ",/collections/bases/products/emollient-cream
"
          Ethyl Oleate NF
        ",/collections/bases/products/ethyl-oleate-nf
"
          Flavor Blend™ Flavoured Suspension Vehicle (2 in 1)
        ",/collections/bases/products/flavor-blend%E2%84%A2-flavoured-suspension-vehicle
"
          Flavor Plus™ Suspension Vehicle (S/F) *Limited-time special*
        ",/collections/bases/products/flavor-plus%C2%AE-suspension-vehicle-s-f
"
          Gelatin Gummy Troche
        ",/collections/bases/products/gelatin-gummy-troche
"
          Glycerin USP
        ",/collections/bases/products/glycerin
"
          HRT Heavy™ Cream *NEW*
        ",/collections/bases/products/hrt-heavy-cream
"
          Lanolin Anhydrous USP
        ",/collections/bases/products/lanolin-anhydrous-usp
"
          Lecithin Organogel
        ",/collections/bases/products/lecithin-organogel
"
          Lipolayer Cream
        ",/collections/bases/products/lipolayer-cream
"
          Macadamia Pharma-Base
        ",/collections/bases/products/macadamia-pharma-base
"
          Medium Cream
        ",/collections/bases/products/medium-cream
"
          Methocel E4M Premium USP
        ",/collections/bases/products/methocel-e4m-premium-usp-grade
"
          Methocel K100M Premium USP
        ",/collections/bases/products/methocel-k100m-premium-usp-grade
"
          PEG (Polyglycol) 400 NF
        ",/collections/bases/products/peg-polyglycol-400-nf
"
          Petrolatum White USP
        ",/collections/bases/products/petrolatum-white-usp
"
          Plasticized Ointment Base
        ",/collections/bases/products/plasticized-ointment-base
"
          Pluronic Gel 20% (F127)
        ",/collections/bases/products/pluronic-gel-20-f127
"
          Polysorbate 20 NF
        ",/collections/bases/products/polysorbate-20-nf
"
          Polysorbate 80 NF
        ",/collections/bases/products/polysorbate-80-nf
"
          Propylene Glycol USP
        ",/collections/bases/products/propylene-glycol-usp
"
          Salt Durable Cream
        ",/collections/bases/products/salt-durable-cream
"
          Sepineo P600 *Limited-time special*
        ",/collections/bases/products/sepineo-p600
"
          Sesame Oil NF
        ",/collections/bases/products/sesame-oil-nf
"
          Shea Butter, Organic
        ",/collections/bases/products/shea-butter-organic
"
          Shea Butter, Organic - Short-dated, exp. 31 Jul 2024
        ",/collections/bases/products/shea-butter-organic-short-dated-exp-31-jul-2024
"
          Simplgel 30
        ",/collections/bases/products/simplgel-30
"
          Sorbitol Candy Base Flavorless
        ",/collections/bases/products/sorbitol-candy-base-flavorless
"
          Supposibase-F Fatty Base
        ",/collections/bases/products/supposibase-f-fatty-base
"
          Suspension Vehicle S/F
        ",/collections/bases/products/suspension-vehicle
"
          Syrup Vehicle (Sugar-free)
        ",/collections/bases/products/syrup-vehicle-sugar-free
"
          Syrup Vehicle NF
        ",/collections/bases/products/syrup-vehicle-nf
"
          Tommygel *Limited-time special*
        ",/collections/bases/products/tommygel
"
          Capsules #0 Blue/Blue
        ",/collections/capsules/products/capsules-0-blue-blue
"
          Capsules #0 Blue/White
        ",/collections/capsules/products/capsule-0-blue-white
"
          Capsules #0 Clear/Clear
        ",/collections/capsules/products/capsule-0-clear-clear
"
          Capsules #0 Green Translucent/Clear *Limited-time special*
        ",/collections/capsules/products/capsule-0-green-translucent-clear
"
          Capsules #0 Orange/Orange
        ",/collections/capsules/products/capsule-0-orange-orange
"
          Capsules #0 Purple/White
        ",/collections/capsules/products/capsule-0-purple-white
"
          Capsules #0 Red Translucent/White
        ",/collections/capsules/products/capsule-0-red-translucent-white
"
          Capsules #0 Red/Red
        ",/collections/capsules/products/capsule-0-red-red
"
          Capsules #0 Red/White
        ",/collections/capsules/products/capsule-0-red-white
"
          Capsules #0 Vegetable Clear
        ",/collections/capsules/products/capsule-0-vegetable-clear-clear
"
          Capsules #0 Vegetable White
        ",/collections/capsules/products/capsule-0-vegetable-white-white
"
          Capsules #0 White/Clear
        ",/collections/capsules/products/capsule-0-white-clear
"
          Capsules #0 White/White
        ",/collections/capsules/products/capsule-0-white-white
"
          Capsules #00 Blue/Blue
        ",/collections/capsules/products/capsule-00-blue
"
          Capsules #00 Blue/White
        ",/collections/capsules/products/capsule-00-blue-white
"
          Capsules #00 Clear/Clear
        ",/collections/capsules/products/capsule-00-clear-clear
"
          Capsules #00 Dark Green
        ",/collections/capsules/products/capsule-00-dark-green
"
          Capsules #00 Orange/Orange
        ",/collections/capsules/products/capsule-00-orange
"
          Capsules #00 Red/Red
        ",/collections/capsules/products/capsule-00-red-red
"
          Capsules #00 Red/White
        ",/collections/capsules/products/capsule-00-red-white
"
          Capsules #00 Vegetable Clear
        ",/collections/capsules/products/capsule-00-vegetable-clear-clear
"
          Capsules #00 Vegetable White
        ",/collections/capsules/products/capsule-00-vegetable-white-white
"
          Capsules #00 White/White
        ",/collections/capsules/products/capsule-00-white-white
"
          Capsules #000 Clear/Clear
        ",/collections/capsules/products/capsule-000-clear-clear
"
          Capsules #1 Blue Aqua Translucent
        ",/collections/capsules/products/capsule-1-blue-aqua-translucent
"
          Capsules #1 Blue Opaque/Pink Translucent
        ",/collections/capsules/products/capsule-1-blue-opaque-pink-translucent
"
          Capsules #1 Blue Translucent/Pink Translucent
        ",/collections/capsules/products/capsule-1-blue-translucent-pink-translucent
"
          Capsules #1 Blue/Blue
        ",/collections/capsules/products/capsule-1-blue-blue
